,Season,Squad,Age,Tkl,TklWon,Blocks,Int,Clr,SCA,PasAss,GCA,GcaDrib,Recov,AerWon,Assists,PPA,CrsPA,TklDri,Goals,SoT,G/Sh,PasProg,Goals Conceded
0,2017/2018,Alavés,641,699.0,461.0,406.0,495.0,967.0,658.0,437.0,70.0,7.0,1939.0,604.0,31.0,176.0,62.0,244.0,40.0,134.0,1.97,1042.0,50
1,2017/2018,Amiens,644,657.0,445.0,444.0,518.0,1113.0,610.0,418.0,57.0,7.0,2165.0,630.0,24.0,176.0,54.0,209.0,36.0,95.0,1.5,1177.0,42
2,2017/2018,Angers,608,661.0,427.0,402.0,409.0,842.0,789.0,529.0,69.0,3.0,2026.0,584.0,30.0,227.0,62.0,227.0,41.0,151.0,1.4300000000000002,1430.0,52
3,2017/2018,Arsenal,643,620.0,423.0,368.0,420.0,844.0,1075.0,826.0,131.0,7.0,2073.0,611.0,61.0,477.0,49.0,163.0,73.0,223.0,2.8000000000000003,2215.0,51
4,2017/2018,Atalanta,521,724.0,487.0,430.0,475.0,814.0,1014.0,725.0,98.0,8.0,2397.0,558.0,38.0,418.0,91.0,262.0,57.0,192.0,1.9,1919.0,39
5,2017/2018,Athletic Club,600,725.0,474.0,429.0,449.0,793.0,721.0,483.0,66.0,2.0,2089.0,699.0,24.0,288.0,101.0,258.0,39.0,142.0,1.25,1501.0,49
6,2017/2018,Atlético Madrid,606,917.0,614.0,462.0,511.0,877.0,699.0,471.0,104.0,14.0,2178.0,550.0,41.0,259.0,34.0,267.0,57.0,147.0,1.83,1460.0,22
7,2017/2018,Augsburg,548,715.0,538.0,398.0,398.0,829.0,746.0,517.0,68.0,1.0,1609.0,696.0,30.0,243.0,107.0,255.0,41.0,141.0,1.42,1114.0,46
8,2017/2018,Barcelona,551,612.0,399.0,351.0,412.0,493.0,1026.0,735.0,168.0,17.0,1997.0,341.0,74.0,470.0,30.0,354.0,96.0,264.0,2.42,2109.0,29
9,2017/2018,Bayern Munich,569,602.0,462.0,308.0,348.0,389.0,1099.0,858.0,169.0,9.0,1571.0,506.0,72.0,431.0,101.0,397.0,90.0,226.0,3.2800000000000002,2322.0,28
10,2017/2018,Betis,632,634.0,424.0,354.0,427.0,855.0,718.0,546.0,91.0,6.0,1895.0,442.0,41.0,234.0,64.0,240.0,56.0,160.0,2.79,1506.0,61
11,2017/2018,Bologna,659,654.0,450.0,475.0,453.0,1104.0,638.0,459.0,62.0,4.0,1807.0,586.0,18.0,229.0,56.0,141.0,37.0,119.0,2.9699999999999998,1320.0,52
12,2017/2018,Bordeaux,573,686.0,452.0,351.0,450.0,814.0,812.0,599.0,91.0,6.0,2152.0,569.0,35.0,266.0,85.0,302.0,52.0,143.0,1.55,1483.0,48
13,2017/2018,Bournemouth,494,508.0,323.0,450.0,364.0,1108.0,803.0,578.0,82.0,5.0,1930.0,690.0,36.0,291.0,67.0,291.0,45.0,153.0,1.43,1526.0,61
14,2017/2018,Brighton,575,599.0,380.0,430.0,446.0,1168.0,680.0,485.0,60.0,4.0,2097.0,782.0,25.0,193.0,65.0,187.0,33.0,110.0,1.35,1230.0,54
15,2017/2018,Burnley,547,517.0,351.0,444.0,385.0,1227.0,638.0,422.0,58.0,4.0,1797.0,876.0,26.0,206.0,84.0,117.0,35.0,126.0,1.25,1080.0,39
16,2017/2018,Caen,547,729.0,475.0,449.0,472.0,942.0,787.0,541.0,47.0,2.0,2333.0,803.0,19.0,213.0,106.0,162.0,25.0,119.0,0.8500000000000001,1541.0,52
17,2017/2018,Cagliari,630,639.0,446.0,422.0,429.0,995.0,651.0,463.0,54.0,2.0,1855.0,736.0,21.0,268.0,94.0,170.0,33.0,113.0,0.96,1344.0,61
18,2017/2018,Celta Vigo,494,589.0,420.0,325.0,494.0,753.0,798.0,576.0,103.0,8.0,2100.0,534.0,45.0,308.0,87.0,227.0,57.0,157.0,1.21,1593.0,60
19,2017/2018,Chelsea,557,635.0,425.0,365.0,424.0,829.0,1110.0,835.0,110.0,8.0,2187.0,597.0,42.0,398.0,74.0,221.0,60.0,210.0,1.61,1997.0,38
