,League,Season,Squad,Goals Scored,xG,xA,Goals Conceded,Points,League Group
0,Bundesliga,2017/2018,FC Augsburg,43,42.25,31.64,46,41.0,Bottom Half
1,Bundesliga,2017/2018,Bayer 04 Leverkusen,58,57.01,42.04,44,55.0,Top Half
2,Bundesliga,2017/2018,Bayern Munich,92,76.58,58.86,28,84.0,Top Half
3,Bundesliga,2017/2018,Borussia Dortmund,64,66.1,49.25,47,55.0,Top Half
4,Bundesliga,2017/2018,Borussia Mönchengladbach,47,51.28,36.230000000000004,52,47.0,Bottom Half
5,Bundesliga,2017/2018,Eintracht Frankfurt,45,41.04,30.41,45,49.0,Top Half
6,Bundesliga,2017/2018,1.FC Union Berlin,35,41.5,29.36,70,22.0,Bottom Half
7,Bundesliga,2017/2018,SC Freiburg,32,36.99,22.48,56,36.0,Bottom Half
9,Bundesliga,2017/2018,Hannover 96,44,41.22,27.93,54,39.0,Bottom Half
11,Bundesliga,2017/2018,TSG 1899 Hoffenheim,66,50.73,36.99,48,55.0,Top Half
12,Bundesliga,2017/2018,1.FSV Mainz 05,38,31.62,22.55,52,36.0,Bottom Half
13,Bundesliga,2017/2018,RB Leipzig,57,51.42,38.69,53,53.0,Top Half
14,Bundesliga,2017/2018,FC Schalke 04,53,46.83,31.64,37,63.0,Top Half
15,Bundesliga,2017/2018,VfB Stuttgart,36,37.91,25.19,36,51.0,Top Half
16,Bundesliga,2017/2018,SV Werder Bremen,37,38.49,31.88,40,42.0,Bottom Half
17,Bundesliga,2017/2018,VfL Wolfsburg,36,32.12,19.55,48,33.0,Bottom Half
18,Bundesliga,2018/2019,FC Augsburg,51,47.47,33.68,71,32.0,Bottom Half
19,Bundesliga,2018/2019,Bayer 04 Leverkusen,69,61.46,46.66,52,58.0,Top Half
20,Bundesliga,2018/2019,Bayern Munich,88,92.24,72.75,32,78.0,Top Half
21,Bundesliga,2018/2019,Borussia Dortmund,81,65.0,49.03,44,76.0,Top Half
22,Bundesliga,2018/2019,Borussia Mönchengladbach,55,54.92,39.52,42,55.0,Top Half
23,Bundesliga,2018/2019,Eintracht Frankfurt,60,61.839999999999996,46.98,48,54.0,Top Half
24,Bundesliga,2018/2019,Fortuna Düsseldorf,49,49.49,34.35,65,44.0,Bottom Half
25,Bundesliga,2018/2019,SC Freiburg,46,41.21,27.009999999999998,61,36.0,Bottom Half
26,Bundesliga,2018/2019,Hannover 96,31,34.82,25.15,71,21.0,Bottom Half
28,Bundesliga,2018/2019,TSG 1899 Hoffenheim,70,79.95,61.49,52,51.0,Bottom Half
29,Bundesliga,2018/2019,1.FSV Mainz 05,46,49.21,36.44,57,43.0,Bottom Half
31,Bundesliga,2018/2019,RB Leipzig,63,68.23,49.019999999999996,29,66.0,Top Half
32,Bundesliga,2018/2019,FC Schalke 04,37,46.62,30.82,55,33.0,Bottom Half
33,Bundesliga,2018/2019,VfB Stuttgart,32,37.36,28.06,70,28.0,Bottom Half
34,Bundesliga,2018/2019,SV Werder Bremen,58,49.370000000000005,32.23,49,53.0,Top Half
35,Bundesliga,2018/2019,VfL Wolfsburg,62,49.5,35.26,50,55.0,Top Half
36,Bundesliga,2019/2020,FC Augsburg,45,43.85,29.89,63,36.0,Bottom Half
37,Bundesliga,2019/2020,Bayer 04 Leverkusen,61,61.91,50.13,44,63.0,Top Half
38,Bundesliga,2019/2020,Bayern Munich,100,92.83,76.29,32,82.0,Top Half
39,Bundesliga,2019/2020,Borussia Dortmund,84,64.27,53.93,41,69.0,Top Half
40,Bundesliga,2019/2020,Borussia Mönchengladbach,66,73.58,55.269999999999996,40,65.0,Top Half
41,Bundesliga,2019/2020,Eintracht Frankfurt,59,58.36,44.4,60,45.0,Bottom Half
42,Bundesliga,2019/2020,1.FC Union Berlin,51,49.27,36.16,69,36.0,Bottom Half
43,Bundesliga,2019/2020,Fortuna Düsseldorf,36,35.67,23.74,67,30.0,Bottom Half
44,Bundesliga,2019/2020,SC Freiburg,48,46.11,33.19,47,48.0,Top Half
46,Bundesliga,2019/2020,TSG 1899 Hoffenheim,53,56.63,40.71,53,52.0,Top Half
47,Bundesliga,2019/2020,1.FSV Mainz 05,44,46.18,36.21,65,37.0,Bottom Half
49,Bundesliga,2019/2020,RB Leipzig,81,76.15,59.01,37,66.0,Top Half
50,Bundesliga,2019/2020,FC Schalke 04,38,35.96,24.29,58,39.0,Bottom Half
51,Bundesliga,2019/2020,1.FC Union Berlin,41,41.59,29.31,58,41.0,Bottom Half
52,Bundesliga,2019/2020,SV Werder Bremen,42,37.75,24.76,69,31.0,Bottom Half
53,Bundesliga,2019/2020,VfL Wolfsburg,48,54.43,38.24,46,49.0,Top Half
54,Bundesliga,2020/2021,Arminia Bielefeld,26,31.13,22.71,52,35.0,Bottom Half
55,Bundesliga,2020/2021,FC Augsburg,36,36.01,25.19,54,36.0,Bottom Half
56,Bundesliga,2020/2021,Bayer 04 Leverkusen,53,47.26,36.64,39,52.0,Top Half
57,Bundesliga,2020/2021,Bayern Munich,99,75.93,56.05,44,78.0,Top Half
58,Bundesliga,2020/2021,Borussia Dortmund,75,68.94,53.04,46,64.0,Top Half
59,Bundesliga,2020/2021,Borussia Mönchengladbach,64,54.13,35.54,56,49.0,Top Half
60,Bundesliga,2020/2021,Eintracht Frankfurt,69,60.52,46.85,53,60.0,Top Half
61,Bundesliga,2020/2021,1.FC Union Berlin,34,39.63,25.65,60,33.0,Bottom Half
62,Bundesliga,2020/2021,SC Freiburg,52,45.14,30.1,52,45.0,Bottom Half
64,Bundesliga,2020/2021,TSG 1899 Hoffenheim,52,50.32,36.45,54,43.0,Bottom Half
65,Bundesliga,2020/2021,1.FSV Mainz 05,39,48.43,34.089999999999996,56,39.0,Bottom Half
66,Bundesliga,2020/2021,RB Leipzig,60,67.13,45.57,32,65.0,Top Half
67,Bundesliga,2020/2021,FC Schalke 04,25,27.7,19.82,86,16.0,Bottom Half
68,Bundesliga,2020/2021,1.FC Union Berlin,50,46.01,33.14,43,50.0,Top Half
69,Bundesliga,2020/2021,VfB Stuttgart,56,52.22,39.01,55,45.0,Bottom Half
70,Bundesliga,2020/2021,SV Werder Bremen,36,32.5,20.72,57,31.0,Bottom Half
71,Bundesliga,2020/2021,VfL Wolfsburg,61,51.61,39.99,37,61.0,Top Half
72,Bundesliga,2021/2022,Arminia Bielefeld,27,27.23,19.53,53,28.0,Bottom Half
73,Bundesliga,2021/2022,FC Augsburg,39,38.94,25.56,56,38.0,Bottom Half
74,Bundesliga,2021/2022,Bayer 04 Leverkusen,80,66.32000000000001,49.25,47,64.0,Top Half
75,Bundesliga,2021/2022,Bayern Munich,97,99.92,76.41,37,77.0,Top Half
76,Bundesliga,2021/2022,VfL Bochum,38,44.8,30.41,52,42.0,Bottom Half
77,Bundesliga,2021/2022,Borussia Dortmund,85,65.66,46.67,52,69.0,Top Half
78,Bundesliga,2021/2022,Borussia Mönchengladbach,54,59.93,41.12,61,45.0,Bottom Half
79,Bundesliga,2021/2022,Eintracht Frankfurt,45,41.660000000000004,32.63,49,42.0,Bottom Half
80,Bundesliga,2021/2022,1.FC Union Berlin,52,52.31,40.17,49,52.0,Top Half
81,Bundesliga,2021/2022,SC Freiburg,58,57.71,40.9,46,55.0,Top Half
84,Bundesliga,2021/2022,TSG 1899 Hoffenheim,58,59.76,48.73,60,46.0,Top Half
85,Bundesliga,2021/2022,1.FSV Mainz 05,50,52.08,37.18,45,46.0,Bottom Half
86,Bundesliga,2021/2022,RB Leipzig,72,67.38,50.84,37,58.0,Top Half
87,Bundesliga,2021/2022,1.FC Union Berlin,50,55.19,37.47,44,57.0,Top Half
88,Bundesliga,2021/2022,VfB Stuttgart,41,47.9,37.59,59,33.0,Bottom Half
89,Bundesliga,2021/2022,VfL Wolfsburg,43,49.26,34.21,54,42.0,Bottom Half
90,EPL,2017/2018,Arsenal FC,74,72.26,57.839999999999996,51,63.0,Top Half
91,EPL,2017/2018,AFC Bournemouth,45,40.01,30.34,61,44.0,Top Half
92,EPL,2017/2018,Brighton & Hove Albion,34,37.2,26.78,54,40.0,Bottom Half
93,EPL,2017/2018,Burnley FC,36,32.79,24.39,39,54.0,Top Half
94,EPL,2017/2018,Chelsea FC,62,59.15,46.1,38,70.0,Top Half
95,EPL,2017/2018,Crystal Palace,45,56.75,35.75,55,44.0,Bottom Half
96,EPL,2017/2018,Everton FC,44,43.71,27.38,58,49.0,Top Half
97,EPL,2017/2018,Huddersfield Town,28,32.17,24.57,58,37.0,Bottom Half
98,EPL,2017/2018,Leicester City,56,50.27,35.59,60,47.0,Top Half
99,EPL,2017/2018,Liverpool FC,84,77.53,57.41,38,75.0,Top Half
100,EPL,2017/2018,Manchester City,106,91.46000000000001,67.61,27,100.0,Top Half
101,EPL,2017/2018,Manchester United,68,59.05,44.35,28,81.0,Top Half
102,EPL,2017/2018,Newcastle United,39,44.62,34.89,47,44.0,Bottom Half
103,EPL,2017/2018,Southampton FC,37,41.88,32.91,56,36.0,Bottom Half
106,EPL,2017/2018,Tottenham Hotspur,74,68.92,53.15,36,77.0,Top Half
107,EPL,2017/2018,Watford FC,44,45.85,30.19,64,41.0,Bottom Half
109,EPL,2017/2018,West Ham United,48,36.82,24.98,68,42.0,Bottom Half
110,EPL,2018/2019,Arsenal FC,73,64.8,51.32,51,70.0,Top Half
111,EPL,2018/2019,AFC Bournemouth,56,58.839999999999996,44.56,70,45.0,Bottom Half
112,EPL,2018/2019,Brighton & Hove Albion,35,37.08,25.69,60,36.0,Bottom Half
113,EPL,2018/2019,Burnley FC,45,44.71,31.52,68,40.0,Bottom Half
115,EPL,2018/2019,Chelsea FC,63,63.96,50.99,39,72.0,Top Half
116,EPL,2018/2019,Crystal Palace,51,50.65,31.99,53,49.0,Bottom Half
117,EPL,2018/2019,Everton FC,54,53.86,36.53,46,54.0,Top Half
