Name,Team,League,Age,Goals,Assists,ProgP,SoT,G/Sh,SCA,PassesPA,KP,Creation Rank,Scoring Rank
Aaron Connolly,Hull City,Championship,23,8,0,10,16,0.21,21,1,8,1856.0,118.0
Aaron Drewe,QPR,Championship,22,0,0,0,0,0,0,0,0,2590.0,1712.5
Aaron Ramsey,Cardiff City,Championship,33,3,0,32,3,0.29,24,8,9,1382.0,421.5
Abdoullah Ba,Sunderland,Championship,20,2,1,17,5,0.09,44,8,17,1062.5,600.5
Abdul Fatawu Issahaku,Leicester City,Championship,19,2,7,60,7,0.05,66,43,37,204.0,619.5
Adam Armstrong,Southampton,Championship,26,13,9,63,29,0.16,71,22,42,231.5,105.5
Adam Forshaw,Norwich City,Championship,32,0,0,15,0,0.0,1,0,0,2332.5,1712.5
Adam Idah,Norwich City,Championship,22,6,1,18,15,0.22,22,2,6,1478.0,135.5
Adam Randell,Plymouth Argyle,Championship,23,3,1,56,9,0.17,52,12,31,656.0,299.5
Adam Reach,West Brom,Championship,30,0,0,0,1,0.0,0,0,0,2590.0,1540.5
Adam Wharton,Blackburn,Championship,19,1,3,129,4,0.06,66,31,33,131.5,791.0
Adama Traoré,Hull City,Championship,28,2,1,53,6,0.09,33,9,15,856.0,570.0
Adil Aouchiche,Sunderland,Championship,21,1,1,46,6,0.05,35,11,20,801.5,750.5
Aidomo Emakhu,Millwall,Championship,20,1,1,11,6,0.07,17,6,3,1487.5,709.0
Ajibola Alese,Sunderland,Championship,22,0,0,3,0,0,1,0,1,2356.0,1712.5
Akin Famewo,Sheffield Weds,Championship,25,0,0,59,0,0.0,15,6,5,1414.0,1712.5
Alan Browne,Preston,Championship,28,4,2,80,7,0.1,51,17,27,357.5,433.5
Albert Adomah,QPR,Championship,36,0,0,1,0,0.0,5,2,4,2061.0,1712.5
Alex Bangura,Middlesbrough,Championship,24,1,1,13,1,0.5,10,3,3,1572.0,732.0
Alex Mowatt,West Brom,Championship,28,1,2,114,2,0.06,64,16,36,295.0,924.0
Alex Palmer,West Brom,Championship,27,0,0,1,0,0,3,1,0,2389.0,1712.5
Alex Pritchard,Sunderland,Championship,30,1,5,78,8,0.05,68,16,32,262.0,699.0
Alexander Gilbert,Middlesbrough,Championship,22,0,0,4,0,0,2,1,0,2317.5,1712.5
Alfie Jones,Hull City,Championship,26,1,2,101,3,0.25,27,6,8,759.5,596.0
Alistair McCann,Preston,Championship,24,0,0,42,1,0.0,24,4,8,1469.5,1540.5
Allahyar Sayyadmanesh,Hull City,Championship,22,0,0,4,0,0.0,2,2,1,2140.5,1712.5
Allan Campbell,Millwall,Championship,25,0,2,22,1,0.0,17,7,7,1093.5,1540.5
Andre Dozzell,QPR,Championship,24,2,1,68,6,0.12,43,10,21,713.0,510.5
Andreas Voglsammer,Millwall,Championship,32,0,0,3,0,0.0,0,0,0,2465.5,1712.5
Andreas Weimann,Bristol City,Championship,32,1,1,26,4,0.08,11,4,7,1277.5,756.0
Andrew Hughes,Preston,Championship,31,1,1,77,3,0.11,22,4,8,1002.5,753.0
Andrew Moran,Blackburn,Championship,20,1,5,97,6,0.04,64,29,32,133.0,765.0
Andrew Omobamidele,Norwich City,Championship,21,0,0,1,0,0,1,0,1,2407.0,1712.5
André Green,Rotherham Utd,Championship,25,0,0,12,1,0.0,12,4,4,1794.5,1540.5
André Vidigal,Stoke City,Championship,25,5,0,32,12,0.12,27,14,12,1198.0,291.0
Andy King,Bristol City,Championship,35,0,1,6,0,0.0,3,0,2,1942.5,1712.5
Andy Rinomhota,Cardiff City,Championship,26,0,0,0,0,0,0,0,0,2590.0,1712.5
Andy Smith,Hull City,Championship,22,0,0,0,0,0,1,0,0,2590.0,1712.5
Anfernee Dijksteel,Middlesbrough,Championship,27,0,0,15,0,0.0,12,3,5,1781.5,1712.5
Angus Gunn,Norwich City,Championship,27,0,0,1,0,0,1,0,0,2516.5,1712.5
Anis Mehmeti,Bristol City,Championship,23,1,0,26,5,0.05,22,11,10,1324.0,781.0
Anthony Musaba,Sheffield Weds,Championship,23,4,2,31,8,0.15,39,9,16,822.0,306.0
Anthony Patterson,Sunderland,Championship,23,0,0,0,0,0,5,0,1,2480.5,1712.5
Archie Gray,Leeds United,Championship,17,0,1,90,0,0.0,36,5,12,840.0,1712.5
Arnór Sigurðsson,Blackburn,Championship,24,5,1,73,11,0.28,29,26,11,627.5,150.5
Arvin Appiah,Rotherham Utd,Championship,23,0,1,9,0,0.0,12,3,3,1609.5,1712.5
Ashley Barnes,Norwich City,Championship,34,3,2,23,10,0.06,20,4,9,1119.5,481.0
Ashley Fletcher,Sheffield Weds,Championship,28,0,1,7,3,0.0,8,2,3,1692.0,1375.0
Asmir Begović,QPR,Championship,36,0,0,0,0,0,3,1,1,2353.0,1712.5
Axel Tuanzebe,Ipswich Town,Championship,26,0,0,16,0,0.0,4,1,1,2085.5,1712.5
Aynsley Pears,Blackburn,Championship,25,0,0,0,0,0,0,0,0,2590.0,1712.5
Azeem Abdullah,Swansea City,Championship,21,0,0,0,0,0,0,0,0,2590.0,1712.5
Bae Junho,Stoke City,Championship,20,0,2,44,2,0.0,35,17,18,602.0,1452.5
Bailey-Tye Cadamarteri,Sheffield Weds,Championship,18,3,1,4,8,0.16,10,2,6,1623.0,329.5
Bali Mumba,Plymouth Argyle,Championship,22,2,2,85,10,0.1,72,29,33,251.0,461.5
Bambo Diaby,Sheffield Weds,Championship,26,0,0,22,2,0.0,9,0,3,2052.5,1452.5
